Year,Location,Total Sentences
2024,Waikato Justice Service Area,3973
2024,Bay of Plenty Justice Service Area,3507
2024,Waiariki Justice Service Area,3094
2024,East Coast Justice Service Area,3490
2024,Taranaki/Whanganui Justice Service Area,2369
2024,Manawatū/Wairarapa Justice Service Area,2376
2024,Northern Wellington Justice Service Area,1863
2024,Wellington Justice Service Area,1017
2024,Nelson/Marlborough/West Coast Justice Service Area,2036
2024,Canterbury Justice Service Area,4694
2024,Otago Justice Service Area,1925
2024,Southland Justice Service Area,1617
