Year,Location,Total Sentences
1990,Otago Justice Service Area,5343
1990,Southland Justice Service Area,3447
1991,Total Regions,80234
1991,Te Tai Tokerau Justice Service Area,2652
1991,Auckland Justice Service Area,9295
1991,South Auckland Justice Service Area,8018
1991,Waikato Justice Service Area,6110
1991,Bay of Plenty Justice Service Area,4507
1991,Waiariki Justice Service Area,4966
1991,East Coast Justice Service Area,4906
1991,Taranaki/Whanganui Justice Service Area,3518
1991,Manawatū/Wairarapa Justice Service Area,3664
1991,Northern Wellington Justice Service Area,5607
1991,Wellington Justice Service Area,3592
1991,Nelson/Marlborough/West Coast Justice Service Area,2721
1991,Canterbury Justice Service Area,7961
1991,Otago Justice Service Area,4086
1991,Southland Justice Service Area,2571
1992,Total Regions,82504
1992,Te Tai Tokerau Justice Service Area,3223
1992,Auckland Justice Service Area,9418
1992,South Auckland Justice Service Area,8692
1992,Waikato Justice Service Area,6028
1992,Bay of Plenty Justice Service Area,4364
1992,Waiariki Justice Service Area,4961
1992,East Coast Justice Service Area,5158
1992,Taranaki/Whanganui Justice Service Area,3664
1992,Manawatū/Wairarapa Justice Service Area,3691
1992,Northern Wellington Justice Service Area,5415
1992,Wellington Justice Service Area,3537
1992,Nelson/Marlborough/West Coast Justice Service Area,2858
1992,Canterbury Justice Service Area,8680
1992,Otago Justice Service Area,4116
1992,Southland Justice Service Area,2862
1993,Total Regions,78679
1993,Te Tai Tokerau Justice Service Area,2684
1993,Auckland Justice Service Area,8914
1993,South Auckland Justice Service Area,7834
1993,Waikato Justice Service Area,6205
1993,Bay of Plenty Justice Service Area,4399
1993,Waiariki Justice Service Area,4646
1993,East Coast Justice Service Area,5444
1993,Taranaki/Whanganui Justice Service Area,3435
1993,Manawatū/Wairarapa Justice Service Area,3883
1993,Northern Wellington Justice Service Area,5036
1993,Wellington Justice Service Area,3432
1993,Nelson/Marlborough/West Coast Justice Service Area,2775
1993,Canterbury Justice Service Area,8032
1993,Otago Justice Service Area,3863
1993,Southland Justice Service Area,2544
1994,Total Regions,80161
1994,Te Tai Tokerau Justice Service Area,2929
1994,Auckland Justice Service Area,9364
1994,South Auckland Justice Service Area,7883
1994,Waikato Justice Service Area,6460
1994,Bay of Plenty Justice Service Area,4749
1994,Waiariki Justice Service Area,4727
1994,East Coast Justice Service Area,5535
1994,Taranaki/Whanganui Justice Service Area,3308
1994,Manawatū/Wairarapa Justice Service Area,3818
1994,Northern Wellington Justice Service Area,4870
1994,Wellington Justice Service Area,3273
1994,Nelson/Marlborough/West Coast Justice Service Area,2884
1994,Canterbury Justice Service Area,7760
1994,Otago Justice Service Area,3915
1994,Southland Justice Service Area,2732
1995,Total Regions,81515
1995,Te Tai Tokerau Justice Service Area,3169
1995,Auckland Justice Service Area,9990
1995,South Auckland Justice Service Area,8676
1995,Waikato Justice Service Area,6010
1995,Bay of Plenty Justice Service Area,4702
1995,Waiariki Justice Service Area,4941
1995,East Coast Justice Service Area,5293
1995,Taranaki/Whanganui Justice Service Area,3546
1995,Manawatū/Wairarapa Justice Service Area,3745
1995,Northern Wellington Justice Service Area,4814
1995,Wellington Justice Service Area,3242
1995,Nelson/Marlborough/West Coast Justice Service Area,2947
1995,Canterbury Justice Service Area,7708
1995,Otago Justice Service Area,3944
1995,Southland Justice Service Area,2794
1996,Total Regions,81951
1996,Te Tai Tokerau Justice Service Area,3528
1996,Auckland Justice Service Area,9874
1996,South Auckland Justice Service Area,8978
1996,Waikato Justice Service Area,6396
1996,Bay of Plenty Justice Service Area,4390
1996,Waiariki Justice Service Area,4795
1996,East Coast Justice Service Area,5101
1996,Taranaki/Whanganui Justice Service Area,3814
1996,Manawatū/Wairarapa Justice Service Area,3829
1996,Northern Wellington Justice Service Area,4665
1996,Wellington Justice Service Area,3313
1996,Nelson/Marlborough/West Coast Justice Service Area,3016
1996,Canterbury Justice Service Area,7489
1996,Otago Justice Service Area,3824
1996,Southland Justice Service Area,2822
1997,Total Regions,81790
1997,Te Tai Tokerau Justice Service Area,3329
1997,Auckland Justice Service Area,9908
1997,South Auckland Justice Service Area,8726
1997,Waikato Justice Service Area,6391
1997,Bay of Plenty Justice Service Area,4564
1997,Waiariki Justice Service Area,4996
1997,East Coast Justice Service Area,5462
1997,Taranaki/Whanganui Justice Service Area,3852
1997,Manawatū/Wairarapa Justice Service Area,3552
1997,Northern Wellington Justice Service Area,5008
1997,Wellington Justice Service Area,3288
1997,Nelson/Marlborough/West Coast Justice Service Area,3019
1997,Canterbury Justice Service Area,7462
1997,Otago Justice Service Area,3657
1997,Southland Justice Service Area,2713
1998,Total Regions,74418
1998,Te Tai Tokerau Justice Service Area,3345
1998,Auckland Justice Service Area,8688
1998,South Auckland Justice Service Area,7624
1998,Waikato Justice Service Area,5528
1998,Bay of Plenty Justice Service Area,4039
1998,Waiariki Justice Service Area,4342
1998,East Coast Justice Service Area,5004
1998,Taranaki/Whanganui Justice Service Area,3538
1998,Manawatū/Wairarapa Justice Service Area,3477
1998,Northern Wellington Justice Service Area,4088
1998,Wellington Justice Service Area,3095
1998,Nelson/Marlborough/West Coast Justice Service Area,2878
1998,Canterbury Justice Service Area,7324
1998,Otago Justice Service Area,3533
1998,Southland Justice Service Area,2505
1999,Total Regions,76788
1999,Te Tai Tokerau Justice Service Area,3520
1999,Auckland Justice Service Area,8371
1999,South Auckland Justice Service Area,7753
1999,Waikato Justice Service Area,5672
1999,Bay of Plenty Justice Service Area,4648
1999,Waiariki Justice Service Area,4247
1999,East Coast Justice Service Area,5113
1999,Taranaki/Whanganui Justice Service Area,4001
1999,Manawatū/Wairarapa Justice Service Area,3716
1999,Northern Wellington Justice Service Area,3935
1999,Wellington Justice Service Area,2924
1999,Nelson/Marlborough/West Coast Justice Service Area,2949
1999,Canterbury Justice Service Area,7770
1999,Otago Justice Service Area,3471
1999,Southland Justice Service Area,2477
