Year,Region,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Log Std Dev Weekly Rent,Total Sentences
1994,Auckland Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,8623.5
1994,Bay of Plenty Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,4738.0
1994,Canterbury Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,7760.0
1994,Gisborne Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,5535.0
1994,Manawatu-Wanganui Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,3818.0
1994,Marlborough Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,2884.0
1994,Northland Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,2929.0
1994,Otago Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,3915.0
1994,Southland Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,2732.0
1994,Taranaki Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,3308.0
1994,Waikato Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,6460.0
1994,Wellington Region,144.3627450980392,141.90686274509804,172.91666666666669,119.74509803921569,0.3137745098039216,4071.5
1995,ALL,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,81515.0
1995,Auckland Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,9333.0
1995,Bay of Plenty Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,4821.5
1995,Canterbury Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,7708.0
1995,Gisborne Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,5293.0
1995,Manawatu-Wanganui Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,3745.0
1995,Marlborough Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,2947.0
1995,Northland Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,3169.0
1995,Otago Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,3944.0
1995,Southland Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,2794.0
1995,Taranaki Region,152.08333333333331,149.6372549019608,182.91666666666669,125.32352941176471,0.31803921568627447,3546.0
