iter	RMSE
177	175.9822315
178	174.8041332
179	173.6086983
180	172.1800957
181	170.869078
182	170.2564764
183	169.5045213
184	168.5378303
185	167.7788494
186	166.842013
187	165.9459635
188	164.8622915
189	164.3198665
190	163.6763822
191	162.4816013
192	161.2985856
193	160.5350805
194	159.3716292
195	158.3377527
196	157.9573885
197	156.8454439
198	155.6340974
199	155.0459837
200	154.5049435
201	153.8683057
202	152.6047683
203	151.3986838
204	150.3714901
205	150.0169081
206	149.5626794
207	148.4187712
208	147.8604748
209	147.4400054
210	146.8356046
211	145.8897463
212	145.4282346
213	144.9601715
214	144.3775969
215	143.3836199
216	142.8091618
217	142.2210495
218	141.8347533
219	141.2375088
220	140.9200146
221	140.4555708
222	140.0101658
223	139.1329352
224	138.7877878
225	138.1298057
226	137.7580077
227	137.3863465
228	136.7636896
229	135.6666165
230	134.6391112
231	133.5447451
232	132.9513999
233	132.3394261
234	131.7842507
235	131.2690232
236	130.7858105
237	130.2315082
238	129.4211194
239	129.1108397
240	128.1390194
241	127.6225484
242	127.3186823
243	127.0175758
244	126.1245422
245	125.393275
246	124.8777619
247	124.113936
248	123.3707953
249	122.465296
250	121.6435294
251	121.3831064
252	120.4984521
253	119.6094113
254	118.9018763
255	118.4172405
256	118.0861262
257	117.2978557
258	116.8089326
259	116.4534857
260	116.049686
261	115.7762302
262	115.3641714
263	114.6906349
264	114.3474508
265	114.0628605
266	113.5892729
267	113.3431093
268	112.5791837
269	112.3078908
270	111.8472266
271	111.1289266
272	110.6461311
273	110.3935815
274	109.9572177
275	109.3258388
276	109.0796678
277	108.8114044
278	108.546084
279	108.1201338
280	107.4109711
281	106.9795619
282	106.7446042
283	106.4970652
284	105.6918897
285	105.4624763
286	104.8657959
287	104.1092214
288	103.4361815
289	103.2110143
290	102.6368643
291	102.0712255
292	101.4223896
293	100.7720696
294	100.5519972
295	99.80085948
296	99.14600668
297	98.90913752
298	98.21037664
299	97.48425123
300	97.25190237
301	97.04145313
302	96.8406166
303	96.61499339
304	95.93571318
305	95.71320351
306	95.51155071
307	95.29356778
308	94.59274489
309	93.95299249
310	93.74007254
311	93.5295013
312	92.84952424
313	92.270891
314	92.08074828
315	91.4791114
316	90.81974284
317	90.61707008
318	90.43221526
319	89.78410189
320	89.14513103
321	88.96384079
322	88.78440044
323	88.15613083
324	87.58326405
325	87.40703011
326	87.21803918
327	87.04541948
328	86.43352777
329	86.24949597
330	85.69014771
331	85.50875999
332	84.91234017
333	84.36456356
334	83.78119325
335	83.20617128
336	83.03051128
337	82.4647619
338	81.93707782
339	81.38375151
340	80.86635455
341	80.35486853
342	79.81785136
343	79.28854617
344	78.97416956
345	78.80771088
346	78.31232586
347	78.07153975
348	77.91934081
349	77.40754847
350	76.90315617
351	76.40606211
352	75.92934311
353	75.45873579
354	74.99353684
355	74.83605267
356	74.48394652
357	74.02830995
358	73.57917341
359	73.4266203
360	72.98481683
361	72.67447252
362	72.21376199
363	71.77647871
364	71.63665996
365	71.21279651
366	70.79501797
367	70.50673308
368	70.37087372
369	69.96207155
370	69.5214626
371	69.23261584
372	68.83594604
373	68.40854557
374	68.12653464
375	67.84744985
376	67.43065815
377	67.02198677
378	66.77464295
379	66.5029546
380	66.23408882
381	65.97152859
382	65.70770762
383	65.44981464
384	65.05559002
385	64.80110514
386	64.41561044
387	64.16449496
388	63.91572027
389	63.66926751
390	63.32103719
391	63.0718865
392	62.8264568
393	62.4591764
394	62.22009083
395	61.8610117
396	61.62338875
397	61.38768363
398	61.15419103
399	60.92097063
400	60.52146742
401	60.29471701
402	60.06207869
403	59.6720239
404	59.4453595
405	59.22083328
406	58.91340787
407	58.5896776
408	58.36884655
409	58.15010444
410	57.93725087
411	57.71776716
412	57.34882394
413	57.14213599
414	56.85547445
415	56.64281499
416	56.42942752
417	56.22063627
418	55.92307135
419	55.71713887
420	55.4938289
421	55.27372845
422	54.9281925
423	54.72546095
424	54.3860725
425	54.08234573
426	53.78333374
427	53.5858841
428	53.25917639
429	52.96921408
430	52.63051283
431	52.2968695
432	52.10595696
433	51.91688393
434	51.74608317
435	51.5603868
436	51.25610095
437	50.95561492
438	50.63842927
439	50.45735851
440	50.27804828
441	49.98615199
442	49.69791441
443	49.3941784
444	49.07894394
445	48.79970307
446	48.49064879
447	48.21713784
448	47.91414652
449	47.6430949
450	47.45572441
451	47.27026721
452	47.0867051
453	46.90502007
454	46.72519427
455	46.54721005
456	46.37104993
457	46.1966966
458	46.02413292
459	45.85334192
460	45.68430679
461	45.51701089
462	45.35143773
463	45.18757099
464	45.0253945
465	44.86489223
466	44.70604832
467	44.54884704
468	44.39327283
469	44.17028121
470	44.01719403
471	43.86569535
472	43.64675027
473	43.43116964
474	43.21783122
475	43.00786793
476	42.86493114
477	42.6588003
478	42.51981095
479	42.3828698
480	42.18338341
481	42.05012533
482	41.91882868
483	41.72576273
484	41.598002
485	41.39748713
486	41.27323363
487	41.15080221
488	41.03016519
489	40.91129532
490	40.7553637
491	40.60100412
492	40.49598349
493	40.39236068
494	40.27924716
495	40.19156939
496	40.10522004
497	40.02017492
498	39.93641032
499	39.85390308
500	39.77263053
501	39.69257051
502	39.61370132
503	39.53600173
504	39.45945098
505	39.38402875
506	39.30971514
507	39.23649071
508	39.1643364
509	39.09323357
510	39.02316397
511	38.95410973
512	38.88605336
513	38.81897774
514	38.75286611
515	38.68770203
516	38.62346944
517	38.56015258
518	38.50971721
519	38.38408776
520	38.32253245
521	38.26185238
522	38.21348798
523	38.16567689
524	38.04232596
525	37.98392787
526	37.92635854
527	37.88050947
528	37.83518351
529	37.71405532
530	37.65864883
531	37.61463446
532	37.56056158
533	37.44137105
534	37.3882681
535	37.34606011
536	37.30433229
537	37.25302444
538	37.1359597
539	37.08557321
540	37.04555773
541	36.9963797
542	36.88117553
543	36.79529317
544	36.71041309
545	36.66295644
546	36.61616866
547	36.57897547
548	36.46574374
549	36.38308718
550	36.30139057
551	36.25668553
552	36.17632164
553	36.13250927
554	36.08931011
555	36.01062264
556	35.96828328
557	35.92653652
558	35.88526499
559	35.77452283
560	35.69786383
561	35.62208455
562	35.5822394
563	35.54284757
564	35.46860894
565	35.43009856
566	35.32116912
567	35.2481446
568	35.17595311
569	35.092122
570	34.98516199
571	34.91403719
572	34.83200357
573	34.74041758
574	34.67038944
575	34.59005595
576	34.50005041
577	34.4109159
578	34.34204409
579	34.24134747
580	34.1397515
581	34.07185715
582	33.9729526
583	33.88568416
584	33.80935967
585	33.72351909
586	33.65687981
587	33.55986355
588	33.46177957
589	33.38780727
590	33.30428167
591	33.22157039
592	33.15616243
593	33.06092343
594	32.9560261
595	32.89141742
596	32.7978758
597	32.69405757
598	32.59142101
599	32.52751335
600	32.46433678
601	32.36933542
602	32.29080824
603	32.19899453
604	32.09907235
605	32.00029229
606	31.93790398
607	31.84673065
608	31.75652509
609	31.65968318
610	31.56395065
611	31.46931485
612	31.40754351
613	31.34648216
614	31.25921805
615	31.12824263
616	30.99960975
617	30.87327918
618	30.7661869
619	30.66044437
620	30.57667148
621	30.45315225
622	30.3495872
623	30.24733279
624	30.16166811
625	30.0606027
626	29.91787245
627	29.81858912
628	29.69183319
629	29.55188795
630	29.46872994
631	29.37149669
632	29.27550148
633	29.13836203
634	29.05655671
635	28.96215965
636	28.82729386
637	28.73457021
638	28.61433783
639	28.48211045
640	28.40266673
641	28.31186844
642	28.22223563
643	28.0926484
644	28.01448025
645	27.9263456
646	27.81102345
647	27.72105094
648	27.63430568
649	27.52079107
650	27.43536978
651	27.32303635
652	27.23536375
653	27.15128718
654	27.06464529
655	26.98999902
656	26.90773217
657	26.79809051
658	26.71297621
659	26.6399466
660	26.56776226
661	26.48346986
662	26.41205191
663	26.33311596
664	26.22618219
665	26.14337666
666	26.07350727
667	26.00444786
668	25.88325281
669	25.80181396
670	25.72596173
671	25.6454816
672	25.57819746
673	25.5116949
674	25.4319919
675	25.36619771
676	25.30986103
677	25.25410828
678	25.14894718
679	25.07053273
680	24.99859482
681	24.92110417
682	24.86638678
683	24.79584071
684	24.69302827
685	24.59116495
686	24.51556311
687	24.44081093
688	24.37869027
689	24.32564913
690	24.27316208
691	24.19912669
692	24.13124446
693	24.07966643
694	23.98072035
695	23.9080103
696	23.84156943
697	23.7697168
698	23.71909964
699	23.66901184
700	23.5979046
701	23.5331782
702	23.43699839
703	23.34699702
704	23.26542892
705	23.1491259
706	23.05531392
707	22.97500886
708	22.88239719
709	22.76895759
710	22.67763937
711	22.59889932
712	22.48781918
713	22.3980989
714	22.32056189
715	22.21944975
716	22.14254889
717	22.04278206
718	21.94459532
719	21.89752199
720	21.81245061
721	21.76575669
722	21.71955404
723	21.67383687
724	21.62859951
725	21.54447259
726	21.49178833
727	21.44737435
728	21.36115165
729	21.30962291
730	21.22426244
731	21.1417264
732	21.09827816
733	21.05528614
734	20.96653022
735	20.91000837
736	20.82754895
737	20.74574279
738	20.70364772
739	20.65449161
740	20.54388416
741	20.46330182
742	20.38335707
743	20.30468801
744	20.26355622
745	20.21537565
746	20.13686234
747	20.09664335
748	20.0188427
749	19.94168653
750	19.83912181
751	19.79936804
752	19.72316354
753	19.64759089
754	19.57913802
755	19.50441754
756	19.40861209
757	19.33328807
758	19.29463536
759	19.2563848
760	19.16279003
761	19.12523115
762	19.0257186
763	18.98847653
764	18.91590678
765	18.81811758
766	18.75254938
767	18.68104398
768	18.61647677
769	18.54577949
770	18.48219618
771	18.39441615
772	18.31579985
773	18.26328596
774	18.16905356
775	18.13321272
776	18.06429278
777	17.99594673
778	17.93380545
779	17.84862257
780	17.78765832
781	17.72742414
782	17.63488033
783	17.56627179
784	17.49255348
785	17.45797891
786	17.42376095
787	17.35771517
788	17.28519333
789	17.25128932
790	17.21773432
791	17.15257965
792	17.08796853
793	17.02946572
794	16.94890509
795	16.89151774
796	16.82016423
797	16.78768233
798	16.70725114
799	16.63705353
800	16.6050763
801	16.57342937
802	16.51101551
803	16.43273003
804	16.40169927
805	16.32478045
806	16.29431041
807	16.20851503
808	16.15392346
809	16.07873658
810	16.01066352
811	15.98078497
812	15.91365906
813	15.8840046
814	15.82411741
815	15.75068511
816	15.72160693
817	15.64945541
818	15.59718684
819	15.5312309
820	15.50282509
821	15.43377201
822	15.36350599
823	15.33549954
824	15.26645809
825	15.1984115
826	15.17111408
827	15.10330138
828	15.05289901
829	15.0259989
830	14.9589276
831	14.89287819
832	14.82778115
833	14.77871931
834	14.75260824
835	14.6865328
836	14.6230211
837	14.55002335
838	14.48584468
839	14.43751531
840	14.37413433
841	14.30371755
842	14.24204095
843	14.19390931
844	14.12524428
845	14.06508325
846	14.00581959
847	13.95789076
848	13.89167267
849	13.8338697
850	13.77693274
851	13.72921196
852	13.66536357
853	13.6098344
854	13.5475155
855	13.50008552
856	13.45323522
857	13.39897842
858	13.33818522
859	13.28541476
860	13.2387771
861	13.18666837
862	13.12807612
863	13.07740163
864	13.03098211
865	12.97388945
866	12.92471943
867	12.87628748
868	12.82067733
869	12.77324749
870	12.71677584
871	12.67055557
872	12.61667613
873	12.57048963
874	12.52499938
875	12.4801942
876	12.42557713
877	12.38161056
878	12.32447043
879	12.26831358
880	12.22224321
881	12.17673159
882	12.12670663
883	12.08394631
884	12.02959718
885	11.96075065
886	11.91569921
887	11.87119457
888	11.82722971
889	11.77923955
890	11.7120264
891	11.67062271
892	11.62712669
893	11.58415904
894	11.54404762
895	11.49274487
896	11.45023182
897	11.40833547
898	11.36923862
899	11.31952569
900	11.27068124
901	11.22789054
902	11.18561939
903	11.14386112
904	11.10619711
905	11.06621704
906	11.02888751
907	10.9814303
908	10.94542952
909	10.90725992
910	10.8610185
911	10.82552052
912	10.78166496
913	10.74502481
914	10.70891597
915	10.64714985
916	10.61456771
917	10.57095586
918	10.53288882
919	10.47517479
920	10.44173993
921	10.40860162
922	10.37575729
923	10.3432044
924	10.31756047
925	10.26176105
926	10.20661828
927	10.17435476
928	10.14025474
929	10.10473065
930	10.07366367
931	10.0402111
932	10.00705865
933	9.971529787
934	9.938948743
935	9.913957981
936	9.880841976
937	9.849882336
938	9.810028007
939	9.775829793
940	9.743730193
941	9.709301906
942	9.67775243
943	9.646484358
944	9.612941273
945	9.582209884
946	9.557690473
947	9.524684993
948	9.500365366
949	9.4686466
950	9.433377892
951	9.398434387
952	9.36135462
953	9.327034747
954	9.303180077
955	9.273864896
956	9.2398917
957	9.20379787
958	9.170430306
959	9.137370988
960	9.102239209
961	9.072901647
962	9.040358448
963	9.008116144
964	8.984872091
965	8.956072268
966	8.921688284
967	8.88993768
968	8.858480207
969	8.835695051
970	8.807331912
971	8.773760239
972	8.742777968
973	8.712081336
974	8.683912207
975	8.651146982
976	8.620923138
977	8.598782879
978	8.57110748
979	8.541073088
980	8.509075997
981	8.487374348
982	8.457860415
983	8.430592462
984	8.401274304
985	8.370023559
986	8.343008503
987	8.314136515
988	8.28552966
989	8.255025342
990	8.233904188
991	8.207279869
992	8.179090805
993	8.15116033
994	8.130453912
995	8.104297021
996	8.074392237
997	8.046866483
998	8.01959299
999	7.999269332
